Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
021059;Fosrenol 750 mg žveèlj.tbl. 90x;V03AE03;lantanov(III) karbonat;P70*;Za bolnike na dializi, ki imajo kljub ustrezni dieti in dializi plazemsko koncentracijo fosfata veè kot 1,8 mmol/L in vrednost korigiranega kalcija veè kot 2,54 mmol/L ali pa hude kalcifikacije v žilah in mehkih tkivih.;1.6.2012
021199;Nitroderm TTS 10 mg/24 ur transdermal.obliž 10x;C01DA02;gliceriltrinitrat;V*;Samo za bolnike, ki imajo po peroralnih oblikah organskih nitratov neželene uèinke.;12.12.2005
021288;Daktarin 20 mg/g oralni gel 40 g;A01AB09;mikonazol;P70;;1.6.2012
021539;IMIGRAN 20 mg/0,1 ml pršilo za nos 2x;N02CC01;sumatriptan;V;;1.1.2000
021563;Aldactone 100 mg trde kaps. 20x;C03DA01;spironolakton;P70;;1.6.2012
021598;Aldactone 25 mg obl.tbl. 20x;C03DA01;spironolakton;P70;;1.6.2012
021601;Aldactone 50 mg obl.tbl. 20x;C03DA01;spironolakton;P70;;1.6.2012
021644;Dilatrend 25 mg tbl. 28x;C07AG02;karvedilol;PC70;;27.5.2016
022063;Januvia 100 mg film.obl.tbl. 28x;A10BH01;sitagliptin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) kombinaciji z metforminom ali pripravki sulfonilseènine/repaglinidom v primeru kontraindikacij za sulfonilseènino/repaglinid oziroma metformin ali neželenih uèinkov. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno zaradi narave poklicnega dela, c) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno, ker je prisotno visoko tveganje za hipoglikemije zaradi omejene zmožnosti bolnika oziroma svojcev za obvladovanje tveganja za hipoglikemijo, oz. ker ni ustreznih socialnih okolišèin. Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;28.7.2014
022098;Naramig 2,5 mg film.obl.tbl. 4x;N02CC02;naratriptan;VC;;27.5.2016
022101;Cipramil 20 mg film.obl.tbl. 28x;N06AB04;citalopram;PC70;;27.5.2016
022195;LIVIAL 2,5 mg tbl. 28x;G03CX01;tibolon;V;;12.6.2006
022314;REVIA 50 mg film.obl.tbl. 28x;N07BB04;naltrekson;V;;13.12.2004
022349;Canesten3 20 mg/g vaginal.krema 20 g;G01AF02;klotrimazol;P70;;1.6.2012
022411;Kamiren 2 mg tbl. 20x;C02CA04;doksazosin;VC;;27.5.2016
022438;Kamiren 4 mg tbl. 20x;C02CA04;doksazosin;VC;;27.5.2016
022446;Bramitob 300 mg/4 ml inhal.razt.za nebulator 56x;J01GB01;tobramicin;P70*;Le za bolnike s cistièno fibrozo.;1.6.2012
022454;Ciprobay 500 film.obl.tbl. 10x;J01MA02;ciprofloksacin;PC70*;Zdravila ni dovoljeno predpisati kot zdravilo izbire za zdravljenje okužbe seèil in dihal razen v primerih, ko je obèutljivost povzroèitelja dokazana z antibiogramom (obèutljivost na kinolone in odpornost na antibiotik izbire) ali v primeru neuspeha, preobèutljivosti ali slabega prenašanja zdravil izbire.;27.5.2016
022730;MIRCERA 50 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
022748;Humalog Mix25 vložki za inj.pero 100 i.e./ml 3 ml 5x;A10AD04;insulin lispro;P100;;22.5.2009
022764;Humalog Mix50 vložki za inj.pero 100 i.e./ml 3 ml 5x;A10AD04;insulin lispro;P100;;22.5.2009
022870;MIRCERA 75 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
022900;MIRCERA 100 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
022950;Ursofalk 250 mg kaps. 100x;A05AA02;ursodeoksiholna kislina;PC70;;27.5.2016
022993;VFEND 50 mg film.obl.tbl. 28x;J02AC03;vorikonazol;P70*;Zdravilo se sme predpisati le po predhodni odobritvi infektologa za nadaljevanje bolnišniènega zdravljenja invazivne aspergiloze in okužb s Candida spp, ki so odporne na flukonazol ter okužb s Fusariumspp in Scedosporium spp.;30.5.2013
023000;FRAXIPARINE 9500 i.e.AXa/1 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
023027;FRAXIPARINE 3800 i.e.AXa/0,4 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
023035;REQUIP 2 mg film.obl.tbl. 21x;N04BC04;ropinirol;P70;;27.5.2016
023060;MIRCERA 150 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023086;REQUIP 5 mg film.obl.tbl. 21x;N04BC04;ropinirol;P70;;29.7.2014
023159;REQUIP 1 mg film.obl.tbl. 21x;N04BC04;ropinirol;P70;;27.5.2016
023167;REQUIP 0,5 mg film.obl.tbl. 21x;N04BC04;ropinirol;P70;;27.5.2016
023205;Euthyrox 150 mcg tbl. 50x;H03AA01;natrijev levotiroksinat;P70;;1.6.2012
023213;REQUIP 0,25 mg film.obl.tbl. 21x;N04BC04;ropinirol;P70;;27.5.2016
023230;MIRCERA 200 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023264;Kornam 5 mg tbl. 30x;G04CA03;terazosin;P70;;1.6.2012
023272;Kornam 2 mg tbl. 30x;G04CA03;terazosin;P70;;1.6.2012
023345;MIRCERA 250 mcg/0,3 ml razt.za inj.v brizgi 1x;B03XA03;metoksipolietilenglikol epoetin beta;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023353;EPREX 5.000 i.e./0,5 ml razt.za inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023361;EPREX 6.000 i.e./0,6 ml razt.za inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023370;INVEGA 3 mg tbl. s podaljš.sprošè.28x;N05AX13;paliperidon;P100;;22.5.2009
023396;EPREX 8.000 i.e./0,8 ml razt.za inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
023400;INVEGA 6 mg tbl. s podaljš.sprošè.28x;N05AX13;paliperidon;P100;;22.5.2009
023426;Euthyrox 100 mcg tbl. 50x;H03AA01;natrijev levotiroksinat;P70;;1.6.2012
023434;Euthyrox 25 mcg tbl. 50x;H03AA01;natrijev levotiroksinat;P70;;1.6.2012
023442;Euthyrox 50 mcg tbl. 50x;H03AA01;natrijev levotiroksinat;P70;;1.6.2012
023450;Canifug 10 mg/ml dermal.pršilo razt. 30 ml;D01AC01;klotrimazol;P70;;28.9.2012
023485;Controloc 20 mg gastrotrezist.tbl. 56x;A02BC02;pantoprazol;VC;;27.5.2016
023493;Daktarin 20 mg/g krema 30 g;D01AC02;mikonazol;V;;3.8.1996
023507;Controloc 20 mg gastrotrezist.tbl. 28x;A02BC02;pantoprazol;VC;;27.5.2016
023540;INVEGA 9 mg tbl. s podaljš.sprošè.28x;N05AX13;paliperidon;P100;;22.5.2009
023671;Nebilet 5 mg tbl. 28x;C07AB12;nebivolol;VC;;27.5.2016
023728;Diane 0,035 mg/2 mg obl.tbl. 63x;G03HB01;ciproteron in estrogen;P100;;31.5.2012
023825;SINVACOR 10 mg film.obl.tbl. 30x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
023868;SPIRIVA 18 mcg prašek za inhal. kaps. 30x+vdihovalnik;R03BB04;tiotropijev bromid;P70;;1.6.2012
024120;Sortis 40 mg film.obl.tbl. 30x;C10AA05;atorvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
024198;Kaletra (80 mg +20 mg )/ml peroral.razt.plastenka 60 ml 5x;J05AR10;lopinavir in ritonavir;P100;;22.5.2009
024236;Concor COR 2,5 mg film.obl.tbl. 30x;C07AB07;bisoprolol;VC;;27.5.2016
024244;Concor COR 5 mg film.obl.tbl. 30x;C07AB07;bisoprolol;VC;;27.5.2016
024252;Concor COR 10 mg film.obl.tbl. 30x;C07AB07;bisoprolol;VC;;27.5.2016
024457;TAMIFLU 75 mg caps. 10x;J05AH02;oseltamivir;P100*;Le za prepreèevanje in zdravljenje gripe za oskrbovance socialniovarstvenih zavodov. le po navodilu epidemiologa.;22.1.2015
024511;RELPAX 20 mg tbl. 6x;N02CC06;eletriptan;VC;;27.5.2016
024546;RELPAX 40 mg tbl. 6x;N02CC06;eletriptan;VC;;27.5.2016
024619;VFEND 200 mg film.obl.tbl. 28x;J02AC03;vorikonazol;P70*;Zdravilo se sme predpisati le po predhodni odobritvi infektologa za nadaljevanje bolnišniènega zdravljenja invazivne aspergiloze in okužb s Candida spp, ki so odporne na flukonazol ter okužb s Fusariumspp in Scedosporium spp.;1.6.2012
024678;ZELDOX 20 mg trde kaps. 30x;N05AE04;ziprasidon;P100;;22.5.2009
024716;Fluzepam 30 mg trde kaps. 10x;N05CD01;flurazepam;V;;3.8.1996
024732;ZELDOX 40 mg trde kaps. 30x;N05AE04;ziprasidon;P100;;22.5.2009
024775;ZELDOX 60 mg trde kaps. 30x;N05AE04;ziprasidon;P100;;22.5.2009
024805;ZELDOX 80 mg trde kaps. 30x;N05AE04;ziprasidon;P100;;22.5.2009
024864;TRAVATAN 40 mcg/ml kapljice za oko razt. 2,5 ml;S01EE04;travoprost;PC70;;27.5.2016
024872;Somatuline Autogel 120 mg razt.za inj. brizga 1x;H01CB03;lanreotid;P100;;22.5.2009
024880;Somatuline Autogel 90 mg inj.brizga 1x;H01CB03;lanreotid;P100;;22.5.2009
024899;Somatuline Autogel 60 mg razt.za inj. brizga 1x;H01CB03;lanreotid;P100;;22.5.2009
024929;Monopril PLUS 20 mg/12,5 mg tbl. 28x;C09BA09;fozinopril in diuretiki;VC;;27.5.2016
024945;Enap-HL 20 mg/12,5 mg tbl. 20x;C09BA02;enalapril in diuretiki;PC70;;27.5.2016
024961;FABRAZYME 35 mg prašek za konc.za inf. viala 1x;A16AB04;agalzidaza beta;P70*;Le za nadaljevanje zdravljenja Fabryjeve bolezni na domu pod nadzorom Fabry centra SB Slovenj Gradec.;1.4.2015
025240;Kamiren XL 4 mg tbl.s podaljš.sprošè. 30x;C02CA04;doksazosin;VC;;27.5.2016
025275;Kamiren XL 4 mg tbl.s podaljš.sprošè. 90x;C02CA04;doksazosin;VC;;27.5.2016
025313;Gyno-Daktarin 200 mg vaginal.globule 7x;G01AF04;mikonazol;V;;3.8.1996
025330;REMODULIN 1 mg/ml razt.za inf. viala 20 ml 1x;B01AC21;treprostinil;P70*;Za bolnike s pljuèno arterijsko hipertenzijo ali neoperabilno kronièno trombembolièno pljuèno hipertenzijo NYHA-WHO III ali IV, ki se jih ne da stabilizirati z zaviralci fosfodiesteraze in/ali endotelinskih receptorjev. Po odobritvi konzilija za pljuèno hipertenzijo ali Kongenitalnega kardiološkega konzilija UKC Ljubljana.;1.3.2015
025410;Frotan 2,5 mg film.obl.tbl. 4x;N02CC07;frovatriptan;VC;;27.5.2016
025470;REMODULIN 2,5 mg/ml razt.za inf. viala 20 ml 1x;B01AC21;treprostinil;P70*;Za bolnike s pljuèno arterijsko hipertenzijo ali neoperabilno kronièno trombembolièno pljuèno hipertenzijo NYHA-WHO III ali IV, ki se jih ne da stabilizirati z zaviralci fosfodiesteraze in/ali endotelinskih receptorjev. Po odobritvi konzilija za pljuèno hipertenzijo ali Kongenitalnega kardiološkega konzilija UKC Ljubljana.;1.3.2015
025500;REMODULIN 5 mg/ml razt.za inf. viala 20 ml 1x;B01AC21;treprostinil;P70*;Za bolnike s pljuèno arterijsko hipertenzijo ali neoperabilno kronièno trombembolièno pljuèno hipertenzijo NYHA-WHO III ali IV, ki se jih ne da stabilizirati z zaviralci fosfodiesteraze in/ali endotelinskih receptorjev. Po odobritvi konzilija za pljuèno hipertenzijo ali Kongenitalnega kardiološkega konzilija UKC Ljubljana.;1.3.2015
025550;SIOFOR 1000 mg tbl. 60x;A10BA02;metformin;PC100;;27.5.2016
025666;Hiconcil 500 mg trde kaps. 16x;J01CA04;amoksicilin;P70;;1.6.2012
025747;REQUIP-MODUTAB 8 mg tbl.s podaljš.delov. 28x;N04BC04;ropinirol;PC70;;27.5.2016
025755;REQUIP-MODUTAB 4 mg tbl.s podaljš.delov. 28x;N04BC04;ropinirol;PC70;;27.5.2016
025763;REQUIP-MODUTAB 2 mg tbl.s podaljš.delov. 28x;N04BC04;ropinirol;PC70;;27.5.2016
025780;Megace 160 mg tbl. 30x;L02AB01;megestrol;P100*;Za bolnice z napredovalim rakom dojke. za bolnice z rakom endometrija in za paliativno oskrbo onkoloških bolnikov s sindromom anoreksija - kaheksija.;22.5.2009
025852;DicloJet 75 mg trde gastrorezist. kaps. 30x;M01AB05;diklofenak;V;;1.8.2012
025925;Omnitrope 5 mg/1,5 ml razt.za inj. vložek 1,5 ml 1x;H01AC01;somatropin;P70*;Omejitev predpisovanja na endokrinologe Pediatriène in Endokrinološke klinike.;1.6.2012
025984;FOSAVANCE 70 mg/5.600 i.e. tbl. 4x;M05BB03;alendronska kislina in holekalciferol;V*;Predpisovanje mora biti v skladu s slovenskimi smernicami za zdravljenje osteoporoze.;10.6.2008
026050;Citalon 10 mg film.obl.tbl. 28x;N06AB04;citalopram;P70;;1.6.2012
026115;Citalon 20 mg film.obl.tbl. 28x;N06AB04;citalopram;PC70;;27.5.2016
026212;DIUVER tbl.5 mg 20x;C03CA04;torasemid;V;;13.6.2005
026220;DIUVER tbl.10 mg 20x;C03CA04;torasemid;V;;13.6.2005
026549;Actonel Combi 35 mg+1000mg/880 i.e. film.obl.tbl.+šumeèa zrnca 4 tbl.+24 vreèk;M05BB04;risedronska kislina, kalcij in holekalciferol, zaporedni;V*;Predpisovanje mora biti v skladu s slovenskimi smernicami za zdravljenje osteoporoze.;10.6.2008
026620;SOREL 0,05 mg/g mazilo 30 g;D05AX02;kalcipotriol;P100;;22.5.2009
026638;SOREL 0,05 mg/g mazilo 120 g;D05AX02;kalcipotriol;P100;;22.5.2009
026700;TAMIFLU 30 mg caps. 10x;J05AH02;oseltamivir;P100*;Le za prepreèevanje in zdravljenje gripe za oskrbovance socialniovarstvenih zavodov. le po navodilu epidemiologa.;22.1.2015
026719;TAMIFLU 45 mg caps. 10x;J05AH02;oseltamivir;P100*;Le za prepreèevanje in zdravljenje gripe za oskrbovance socialniovarstvenih zavodov. le po navodilu epidemiologa.;22.1.2015
026727;Edemid 500 mg tbl. 20x;C03CA01;furosemid;P70;;1.6.2012
026778;Edemid 40 mg tbl. 12x;C03CA01;furosemid;P70;;1.6.2012
026794;Bionoliprel 2,5 mg/0,625 mg film.obl.tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
026840;Bionoliprel 5 mg/1,25 mg film.obl.tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
026859;BIOPREXANIL COMBI 5 mg/1,25 mg, film.obl.tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
026921;Rispolux 0,5 mg film.obl.tbl. 20x;N05AX08;risperidon;P100;;22.5.2009
026930;SPIRIVA RESPIMAT 2,5 mcg/vpih inhal.razt. 60 vpihov (30 odm.);R03BB04;tiotropijev bromid;P70;;1.6.2012
026964;Astrol 1 mg film.obl.tbl. 28x;L02BG03;anastrozol;PC100;;27.5.2016
026980;KARBOX 150 mg film.obl.tbl. 50x;N03AF02;okskarbazepin;P100;;22.5.2009
026999;Katalip 250 mg trde kaps. 30x;C10AB05;fenofibrat;P70;;1.6.2012
027022;Efloran 400 mg tbl. 10x;P01AB01;metronidazol;P70;;1.6.2012
027090;KARBOX 300 mg film.obl.tbl. 50x;N03AF02;okskarbazepin;PC100;;27.5.2016
027111;Ketonal 150 mg tbl.s podaljš.sprošè. 20x;M01AE03;ketoprofen;V;;1.8.2012
027189;EGLONYL 50 mg trde kaps. 30x;N05AL01;sulpirid;P100;;22.5.2009
027219;Ketonal 50 mg trde kaps. 25x;M01AE03;ketoprofen;V;;1.8.2012
027243;EGLONYL 200 mg tbl. 12x;N05AL01;sulpirid;P100;;22.5.2009
027251;KARBOX 600 mg film.obl.tbl. 50x;N03AF02;okskarbazepin;PC100;;27.5.2016
027430;MAPRON 100 mg film.obl.tbl. 30x;N06AB06;sertralin;PC70;;27.5.2016
027448;LADIOMIL 25 mg film.obl.tbl. 30x;N06AA21;maprotilin;P70;;1.6.2012
027464;MAPRON 50 mg film.obl.tbl. 30x;N06AB06;sertralin;PC70;;27.5.2016
027472;NuvaRing 0,120 mg/0,015 mg na 24 ur vaginalni dostavni sistem 1x;G02BB01;vaginalni obroèek s progestogenom in estrogenom;PC100*;Le po presoji ginekologa, kadar je podano tveganje za pravilno uporabo peroralne hormonske kontracepcije.;27.5.2016
027480;NuvaRing 0,120 mg/0,015 mg na 24 ur vaginalni dostavni sistem 3x;G02BB01;vaginalni obroèek s progestogenom in estrogenom;PC100*;Le po presoji ginekologa, kadar je podano tveganje za pravilno uporabo peroralne hormonske kontracepcije.;27.5.2016
027502;Binocrit 1000 i.e./0,5 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027510;Binocrit 2000 i.e./1 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027529;Binocrit 3000 i.e./0,3 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027537;Binocrit 4000 i.e./0,4 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027545;Binocrit 5000 i.e./0,5 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027561;Binocrit 6000 i.e./0,6 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027570;Binocrit 8000 i.e./0,8 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027588;Binocrit 10 000 i.e./1 ml inj.brizga 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
027626;Celsentri 150 mg film.obl.tbl. 60x;J05AX09;maravirok;P100;;22.5.2009
027634;Celsentri 300 mg film.obl.tbl. 60x;J05AX09;maravirok;P100;;22.5.2009
027766;Enap 10 mg tbl. 20x;C09AA02;enalapril;PC70;;27.5.2016
027774;Enap 20 mg tbl. 20x;C09AA02;enalapril;PC70;;27.5.2016
027820;Leukeran 2 mg film.obl.tbl. 25x;L01AA02;klorambucil;P100;;22.5.2009
027855;LEXILIUM 6 mg tbl. 30x;N05BA08;bromazepam;V;;3.8.1996
027910;EXELON 4,6 mg/24 h transdermal.obliž 30x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
027928;EXELON 9,5 mg/24 h transdermal.obliž 30x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
027960;Litalir 500 mg trde kaps. 100x;L01XX05;hidroksikarbamid;P100;;22.5.2009
027979;Cerazette 75 mcg film.obl.tbl. 28x;G03AC09;dezogestrel;PC100;;27.5.2016
027995;Lorsilan 2,5 mg tbl. 20x;N05BA06;lorazepam;V;;3.8.1996
028053;ENDOXAN 50 mg obl.tbl. 50x;L01AA01;ciklofosfamid;P100;;22.5.2009
028070;Cerazette 75 mcg film.obl.tbl. 84x;G03AC09;dezogestrel;PC100;;27.5.2016
028266;Kreon 10 000 Ph.Eur.e. trde gastrorezist.kaps. 150 mg 20x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028274;Kreon 10 000 Ph.Eur.e. trde gastrorezist.kaps. 150 mg 50x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028282;KREON 10 000 Ph.Eur.e. trde gastrorezist.kaps. 150 mg 100x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028290;Kreon 25 000 Ph.Eur.e. trde gastrorezist.kaps. 300 mg 20x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028312;Kreon 25 000 Ph.Eur.e. trde gastrorezist.kaps. 300 mg 50x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028339;Kreon 25 000 Ph.Eur.e. trde gastrorezist.kaps. 300 mg 100x;A09AA02;multiencimska zdravila (lipaze, proteaze);P70;;1.6.2012
028444;CEFZIL 250 mg film.obl.tbl. 10x;J01DC10;cefprozil;P70;;1.6.2012
028452;CEFZIL 500 mg film.obl.tbl. 10x;J01DC10;cefprozil;P70;;1.6.2012
028460;CEFZIL 250 mg/5 ml zrnca za peroral.susp. 60ml;J01DC10;cefprozil;P70;;1.6.2012
028479;Enap 10 mg tbl. 90x;C09AA02;enalapril;PC70;;27.5.2016
028495;Enap 2,5 mg tbl. 90x;C09AA02;enalapril;PC70;;27.5.2016
028509;Enap-HL 10 mg/12,5 mg tbl. 90x;C09BA02;enalapril in diuretiki;PC70;;27.5.2016
028533;Enap-H 10 mg/25 mg tbl. 90x;C09BA02;enalapril in diuretiki;PC70;;27.5.2016
028622;Acipan 20 mg gastrorezist.tbl. 28x;A02BC02;pantoprazol;VC;;27.5.2016
028630;Acipan 40 mg gastrorezist.tbl. 28x;A02BC02;pantoprazol;VC;;27.5.2016
028649;Acipan 40 mg gastrorezist.tbl. 14x;A02BC02;pantoprazol;VC;;27.5.2016
028690;Rasilez 150 mg film.obl.tbl. 28x;C09XA02;aliskiren;V*;Predpisovanje omejeno na hipertenzivne bolnike s sladkorno boleznijo in proteinurijo, ki ob zdravljenju z zaviralcem angiotenzinske konvertaze ali sartanom ne dosežejo znižanja proteinurije. le na priporoèilo kardiologa, nefrologa ali diabetologa.;9.12.2008
028770;Moditen 2,5 mg obl.tbl. 100;N05AB02;flufenazin;P100;;22.5.2009
028843;Gliclada 30 mg tbl. s podaljš.sprošè. 30x;A10BB09;gliklazid;PC100;;27.5.2016
028860;Gliclada 30 mg tbl. s podaljš.sprošè. 90x;A10BB09;gliklazid;PC100;;27.5.2016
028886;Lercapress 20 mg film.obl.tbl. 28x;C08CA13;lerkanidipin;VC;;27.5.2016
028908;Naprosyn 375 mg film.obl.tbl. 50x;M01AE02;naproksen;V;;1.8.2012
028916;Mirtazapin Mylan 30 mg orodisperz.tbl. 30x;N06AX11;mirtazapin;PC70;;27.5.2016
028924;Mirtazapin Mylan 45 mg orodisperz.tbl. 30x;N06AX11;mirtazapin;PC70;;27.5.2016
028959;Naklofen 50 mg gastrorezist.tbl. 20x;M01AB05;diklofenak;V;;1.8.2012
029050;NovoMix 50 FlexPen 100 i.e./ml susp.za inj. 3 ml peresnik 5x;A10AD05;insulin aspart;P100;;22.5.2009
029254;VFEND 40 mg/ml prašek za peroral.susp. 70 ml;J02AC03;vorikonazol;P70*;Zdravilo se sme predpisati le po predhodni odobritvi infektologa za nadaljevanje bolnišniènega zdravljenja invazivne aspergiloze in okužb s Candida spp, ki so odporne na flukonazol ter okužb s Fusariumspp in Scedosporium spp.;1.6.2012
029327;Daivobet 50 mcg/500 mcg v 1 g mazilo 60 g;D05AX52;kalcipotriol, kombinacije;P70;;1.6.2012
029416;Linola Urea 120 mg/g krema 50g;D02AE01;seènina;P70;;1.6.2012
029505;YAZ 0,02 mg/3 mg film.obl. tbl. 28x;G03AA12;drospirenon in estrogen;PC100;;27.5.2016
029637;VERSATIS 5 % zdravilni obliž 5x;N01BB02;lidokain;P70*;Le za zdravljenje bolnikov s postherpetièno boleèino, kadar je izèrpano zdravljenje z ostalimi zdravili in fizikalnimi metodami oziroma kadar zdravljenje s peroralnimi zdravili ni možno.;1.6.2012
029777;Tasigna 200 mg trde kaps. 112x;L01XE08;nilotinib;P100*;Za zdravljenje odraslih bolnikov s kronièno mieloièno levkemijo s prisotnim kromosomom Philadelphia v kronièni fazi. le v drugi liniji zdravljenja v primeru neuèinkovitosti ali neprenašanja zdravil uporabljenih v prvi liniji zdravljenja in èe se pojavijo mutacije, odzivne na nilotinib. Zdravljenje pod nadzorom hematologa na osnovi odloèitve komisije hematološke klinike UKC Ljubljana.;17.4.2014
029793;EUCREAS 50 mg/850 mg film.obl. tbl. 30x;A10BD08;metformin in vildagliptin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) primeru neželenih uèinkov ali kontraindikacij za sulfonilseènino/repaglinid. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno zaradi narave poklicnega dela, c) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno, ker je prisotno visoko tveganje za hipoglikemije zaradi omejene zmožnosti bolnika oziroma svojcev za obvladovanje tveganja za hipoglikemijo, oz. ker ni ustreznih socialnih okolišèin. Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;17.4.2014
